close,symbol,date
625.257080078125,HDFCBANK.NS,2022-05-20
617.2340698242188,HDFCBANK.NS,2022-05-23
624.3104858398438,HDFCBANK.NS,2022-05-24
628.9728393554688,HDFCBANK.NS,2022-05-25
646.912353515625,HDFCBANK.NS,2022-05-26
658.9115600585938,HDFCBANK.NS,2022-05-27
663.4082641601562,HDFCBANK.NS,2022-05-30
657.4441528320312,HDFCBANK.NS,2022-05-31
660.2368774414062,HDFCBANK.NS,2022-06-01
655.621826171875,HDFCBANK.NS,2022-06-02
653.349853515625,HDFCBANK.NS,2022-06-03
652.47412109375,HDFCBANK.NS,2022-06-06
644.9716796875,HDFCBANK.NS,2022-06-07
647.2437133789062,HDFCBANK.NS,2022-06-08
652.1190795898438,HDFCBANK.NS,2022-06-09
639.5283203125,HDFCBANK.NS,2022-06-10
627.9315185546875,HDFCBANK.NS,2022-06-13
621.020751953125,HDFCBANK.NS,2022-06-14
618.8670043945312,HDFCBANK.NS,2022-06-15
606.4893188476562,HDFCBANK.NS,2022-06-16
610.4889526367188,HDFCBANK.NS,2022-06-17
625.8251953125,HDFCBANK.NS,2022-06-20
632.6412963867188,HDFCBANK.NS,2022-06-21
629.6592407226562,HDFCBANK.NS,2022-06-22
631.9785766601562,HDFCBANK.NS,2022-06-23
640.8063354492188,HDFCBANK.NS,2022-06-24
641.9660034179688,HDFCBANK.NS,2022-06-27
637.0669555664062,HDFCBANK.NS,2022-06-28
636.1439208984375,HDFCBANK.NS,2022-06-29
638.06103515625,HDFCBANK.NS,2022-06-30
640.7826538085938,HDFCBANK.NS,2022-07-01
641.6820068359375,HDFCBANK.NS,2022-07-04
640.23828125,HDFCBANK.NS,2022-07-05
649.0661010742188,HDFCBANK.NS,2022-07-06
660.6865844726562,HDFCBANK.NS,2022-07-07
661.3018798828125,HDFCBANK.NS,2022-07-08
665.5855712890625,HDFCBANK.NS,2022-07-11
658.7931518554688,HDFCBANK.NS,2022-07-12
642.723388671875,HDFCBANK.NS,2022-07-13
639.504638671875,HDFCBANK.NS,2022-07-14
644.71142578125,HDFCBANK.NS,2022-07-15
637.8479614257812,HDFCBANK.NS,2022-07-18
638.0846557617188,HDFCBANK.NS,2022-07-19
646.1314086914062,HDFCBANK.NS,2022-07-20
644.0960693359375,HDFCBANK.NS,2022-07-21
659.1245727539062,HDFCBANK.NS,2022-07-22
661.0652465820312,HDFCBANK.NS,2022-07-25
659.7161865234375,HDFCBANK.NS,2022-07-26
664.75732421875,HDFCBANK.NS,2022-07-27
670.650390625,HDFCBANK.NS,2022-07-28
678.86279296875,HDFCBANK.NS,2022-07-29
684.5192260742188,HDFCBANK.NS,2022-08-01
676.9930419921875,HDFCBANK.NS,2022-08-02
678.5787963867188,HDFCBANK.NS,2022-08-03
677.774169921875,HDFCBANK.NS,2022-08-04
675.4783935546875,HDFCBANK.NS,2022-08-05
692.0453491210938,HDFCBANK.NS,2022-08-08
694.0569458007812,HDFCBANK.NS,2022-08-10
703.23974609375,HDFCBANK.NS,2022-08-11
702.9794311523438,HDFCBANK.NS,2022-08-12
711.0261840820312,HDFCBANK.NS,2022-08-16
714.694580078125,HDFCBANK.NS,2022-08-17
715.5465698242188,HDFCBANK.NS,2022-08-18
706.7188110351562,HDFCBANK.NS,2022-08-19
695.9739990234375,HDFCBANK.NS,2022-08-22
693.8203125,HDFCBANK.NS,2022-08-23
697.1572875976562,HDFCBANK.NS,2022-08-24
693.3706665039062,HDFCBANK.NS,2022-08-25
693.4889526367188,HDFCBANK.NS,2022-08-26
681.3241577148438,HDFCBANK.NS,2022-08-29
703.4290161132812,HDFCBANK.NS,2022-08-30
696.8259887695312,HDFCBANK.NS,2022-09-01
703.1450805664062,HDFCBANK.NS,2022-09-02
707.6654663085938,HDFCBANK.NS,2022-09-05
704.9673461914062,HDFCBANK.NS,2022-09-06
701.6304931640625,HDFCBANK.NS,2022-09-07
708.8724365234375,HDFCBANK.NS,2022-09-08
709.3458251953125,HDFCBANK.NS,2022-09-09
706.9554443359375,HDFCBANK.NS,2022-09-12
716.2091674804688,HDFCBANK.NS,2022-09-13
723.569580078125,HDFCBANK.NS,2022-09-14
719.8065795898438,HDFCBANK.NS,2022-09-15
706.5767211914062,HDFCBANK.NS,2022-09-16
711.2391357421875,HDFCBANK.NS,2022-09-19
719.8065795898438,HDFCBANK.NS,2022-09-20
718.6942749023438,HDFCBANK.NS,2022-09-21
703.3817749023438,HDFCBANK.NS,2022-09-22
684.5192260742188,HDFCBANK.NS,2022-09-23
675.2890625,HDFCBANK.NS,2022-09-26
669.2303466796875,HDFCBANK.NS,2022-09-27
657.7282104492188,HDFCBANK.NS,2022-09-28
654.3201904296875,HDFCBANK.NS,2022-09-29
672.7802734375,HDFCBANK.NS,2022-09-30
668.9226684570312,HDFCBANK.NS,2022-10-03
687.7615356445312,HDFCBANK.NS,2022-10-04
680.1881103515625,HDFCBANK.NS,2022-10-06
677.2534790039062,HDFCBANK.NS,2022-10-07
669.774658203125,HDFCBANK.NS,2022-10-10
662.9822998046875,HDFCBANK.NS,2022-10-11
667.3132934570312,HDFCBANK.NS,2022-10-12
659.6452026367188,HDFCBANK.NS,2022-10-13
681.1348266601562,HDFCBANK.NS,2022-10-14
684.7085571289062,HDFCBANK.NS,2022-10-17
683.4305419921875,HDFCBANK.NS,2022-10-18
690.4359741210938,HDFCBANK.NS,2022-10-19
685.7736206054688,HDFCBANK.NS,2022-10-20
680.9454345703125,HDFCBANK.NS,2022-10-21
691.572021484375,HDFCBANK.NS,2022-10-24
686.7674560546875,HDFCBANK.NS,2022-10-25
688.4241943359375,HDFCBANK.NS,2022-10-27
690.4595947265625,HDFCBANK.NS,2022-10-28
708.4464111328125,HDFCBANK.NS,2022-10-31
716.2802124023438,HDFCBANK.NS,2022-11-01
716.7298583984375,HDFCBANK.NS,2022-11-02
713.5822143554688,HDFCBANK.NS,2022-11-03
708.6594848632812,HDFCBANK.NS,2022-11-04
714.1738891601562,HDFCBANK.NS,2022-11-07
713.9608764648438,HDFCBANK.NS,2022-11-09
721.7236938476562,HDFCBANK.NS,2022-11-10
762.6201171875,HDFCBANK.NS,2022-11-11
764.4661254882812,HDFCBANK.NS,2022-11-14
766.3358154296875,HDFCBANK.NS,2022-11-15
772.915283203125,HDFCBANK.NS,2022-11-16
765.9335327148438,HDFCBANK.NS,2022-11-17
763.921875,HDFCBANK.NS,2022-11-18
756.0880737304688,HDFCBANK.NS,2022-11-21
754.9757080078125,HDFCBANK.NS,2022-11-22
756.9400634765625,HDFCBANK.NS,2022-11-23
769.2468872070312,HDFCBANK.NS,2022-11-24
765.69677734375,HDFCBANK.NS,2022-11-25
757.4607543945312,HDFCBANK.NS,2022-11-28
756.32470703125,HDFCBANK.NS,2022-11-29
761.342041015625,HDFCBANK.NS,2022-11-30
766.572509765625,HDFCBANK.NS,2022-12-01
760.7030639648438,HDFCBANK.NS,2022-12-02
763.4721069335938,HDFCBANK.NS,2022-12-05
762.6201171875,HDFCBANK.NS,2022-12-06
762.2887573242188,HDFCBANK.NS,2022-12-07
766.572509765625,HDFCBANK.NS,2022-12-08
772.0396118164062,HDFCBANK.NS,2022-12-09
778.051025390625,HDFCBANK.NS,2022-12-12
780.2046508789062,HDFCBANK.NS,2022-12-13
786.8076782226562,HDFCBANK.NS,2022-12-14
772.3946533203125,HDFCBANK.NS,2022-12-15
776.1102905273438,HDFCBANK.NS,2022-12-16
778.5242919921875,HDFCBANK.NS,2022-12-19
773.1519165039062,HDFCBANK.NS,2022-12-20
765.6731567382812,HDFCBANK.NS,2022-12-21
763.046142578125,HDFCBANK.NS,2022-12-22
756.2300415039062,HDFCBANK.NS,2022-12-23
771.2821655273438,HDFCBANK.NS,2022-12-26
772.063232421875,HDFCBANK.NS,2022-12-27
771.4479370117188,HDFCBANK.NS,2022-12-28
776.8912963867188,HDFCBANK.NS,2022-12-29
770.6668701171875,HDFCBANK.NS,2022-12-30
770.9271850585938,HDFCBANK.NS,2023-01-02
775.9682006835938,HDFCBANK.NS,2023-01-03
762.0994873046875,HDFCBANK.NS,2023-01-04
757.2003784179688,HDFCBANK.NS,2023-01-05
754.691650390625,HDFCBANK.NS,2023-01-06
756.1589965820312,HDFCBANK.NS,2023-01-09
742.3375854492188,HDFCBANK.NS,2023-01-10
753.0349731445312,HDFCBANK.NS,2023-01-11
